# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
        85;         42.5;    138.3;     44.5;     456.09;    0.082328;     -772.112055;     -772.029727;     -772.084163;      0.51
        86;         43.0;    117.6;     44.5;     444.73;    0.080278;     -772.109426;     -772.029149;     -772.084110;      0.65
        87;         43.5;    137.6;     44.1;     432.80;    0.078124;     -772.106572;     -772.028449;     -772.084048;      0.82
        88;         44.0;    118.8;     44.4;     425.04;    0.076724;     -772.104406;     -772.027682;     -772.083993;      0.98
        89;         44.5;    138.7;     44.7;     425.46;    0.076800;     -772.103741;     -772.026941;     -772.083961;      1.06
        90;         45.0;    138.5;     44.6;     436.17;    0.078732;     -772.105066;     -772.026334;     -772.083960;      1.07
        91;         45.5;    137.9;     44.4;     456.67;    0.082433;     -772.108389;     -772.025956;     -772.083994;      0.97
        92;         46.0;    129.2;     44.7;     483.78;    0.087326;     -772.113189;     -772.025863;     -772.084055;      0.81
        93;         46.5;    130.4;     44.7;     512.08;    0.092435;     -772.118488;     -772.026053;     -772.084130;      0.60
        94;         47.0;    131.9;     44.8;     535.23;    0.096613;     -772.123073;     -772.026459;     -772.084202;      0.40
        95;         47.5;    128.1;     44.1;     547.64;    0.098854;     -772.125813;     -772.026959;     -772.084249;      0.27
        96;         48.0;    123.3;     48.1;     546.29;    0.098609;     -772.126010;     -772.027402;     -772.084252;      0.26
        97;         48.5;    140.2;     50.2;     531.86;    0.096005;     -772.123663;     -772.027657;     -772.084205;      0.39
        98;         49.0;    138.9;     48.2;     508.90;    0.091861;     -772.119521;     -772.027660;     -772.084123;      0.62
        99;         49.5;    139.1;     43.7;     484.23;    0.087408;     -772.114837;     -772.027429;     -772.084042;      0.84
       100;         50.0;    138.3;     48.3;     464.08;    0.083771;     -772.110816;     -772.027046;     -772.084000;      0.96
