epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
        67, 3485.761,    0.005,       8.6584e-06,       8.6584e-06,     3.87e-05,       3.9801e-06,       3.9801e-06,     2.46e-05
        68, 3537.971,    0.005,       6.6035e-06,       6.6035e-06,     3.35e-05,       3.8094e-06,       3.8094e-06,     2.42e-05
        69, 3590.140,    0.005,       6.6395e-06,       6.6395e-06,     3.34e-05,       3.5575e-06,       3.5575e-06,     2.35e-05
        70, 3642.116,    0.005,       1.7903e-05,       1.7903e-05,     5.58e-05,       3.7731e-06,       3.7731e-06,     2.42e-05
        71, 3695.432,    0.005,       7.7654e-06,       7.7654e-06,     3.58e-05,       3.5539e-06,       3.5539e-06,     2.35e-05
        72, 3747.542,    0.005,       5.8579e-06,       5.8579e-06,     3.17e-05,        3.495e-06,        3.495e-06,     2.32e-05
        73, 3799.979,    0.005,       5.3051e-06,       5.3051e-06,     3.01e-05,       3.3491e-06,       3.3491e-06,     2.28e-05
        74, 3852.143,    0.005,       6.6529e-06,       6.6529e-06,     3.36e-05,       3.2757e-06,       3.2757e-06,     2.24e-05
        75, 3905.297,    0.005,       1.0408e-05,       1.0408e-05,     4.24e-05,        3.059e-06,        3.059e-06,     2.18e-05
        76, 3958.269,    0.005,       1.6951e-05,       1.6951e-05,     5.57e-05,       3.1337e-06,       3.1337e-06,     2.18e-05
        77, 4011.108,    0.005,       6.8762e-06,       6.8762e-06,     3.48e-05,       3.0205e-06,       3.0205e-06,     2.19e-05
        78, 4064.262,    0.005,       1.2015e-05,       1.2015e-05,     4.61e-05,       3.1151e-06,       3.1151e-06,      2.2e-05
        79, 4117.138,    0.005,        1.883e-05,        1.883e-05,     5.98e-05,       3.1694e-06,       3.1694e-06,     2.22e-05
        80, 4170.853,    0.005,       5.5419e-06,       5.5419e-06,        3e-05,       3.1687e-06,       3.1687e-06,     2.24e-05
        81, 4224.350,    0.005,       7.5827e-06,       7.5827e-06,     3.52e-05,       3.0884e-06,       3.0884e-06,     2.21e-05
        82, 4277.353,    0.005,       5.3137e-06,       5.3137e-06,     2.94e-05,       2.9199e-06,       2.9199e-06,     2.17e-05
        83, 4330.665,    0.005,       4.4574e-06,       4.4574e-06,     2.77e-05,       2.6672e-06,       2.6672e-06,     2.09e-05
        84, 4383.866,    0.005,       7.1135e-06,       7.1135e-06,     3.54e-05,        2.665e-06,        2.665e-06,     2.08e-05
        85, 4437.376,    0.005,       8.6775e-06,       8.6775e-06,     3.97e-05,       2.4766e-06,       2.4766e-06,     1.98e-05
        86, 4493.747,    0.005,       5.2039e-06,       5.2039e-06,        3e-05,       2.4177e-06,       2.4177e-06,     1.96e-05
        87, 4547.564,    0.005,       1.3056e-05,       1.3056e-05,     4.73e-05,       2.4279e-06,       2.4279e-06,     1.95e-05
        88, 4599.923,    0.005,       7.1253e-06,       7.1253e-06,      3.6e-05,       2.3507e-06,       2.3507e-06,     1.92e-05
        89, 4653.666,    0.005,       4.6095e-06,       4.6095e-06,     2.78e-05,       2.4167e-06,       2.4167e-06,     1.94e-05
        90, 4707.793,    0.005,       5.1777e-06,       5.1777e-06,        3e-05,       2.2726e-06,       2.2726e-06,      1.9e-05
        91, 4760.120,    0.005,       4.7203e-06,       4.7203e-06,     2.81e-05,       2.2318e-06,       2.2318e-06,     1.88e-05
        92, 4812.495,    0.005,       7.1377e-06,       7.1377e-06,     3.43e-05,       2.2549e-06,       2.2549e-06,     1.89e-05
        93, 4863.862,    0.005,       4.8201e-06,       4.8201e-06,     2.86e-05,       2.1755e-06,       2.1755e-06,     1.89e-05
        94, 4918.013,    0.005,       8.9402e-06,       8.9402e-06,     3.92e-05,       2.2267e-06,       2.2267e-06,     1.91e-05
        95, 4971.114,    0.005,       1.6942e-05,       1.6942e-05,     5.32e-05,       2.4193e-06,       2.4193e-06,     1.98e-05
        96, 5023.661,    0.005,       8.3689e-06,       8.3689e-06,     3.73e-05,       2.3579e-06,       2.3579e-06,     1.97e-05
        97, 5075.670,    0.005,       3.6251e-06,       3.6251e-06,     2.46e-05,       2.1836e-06,       2.1836e-06,      1.9e-05
        98, 5127.639,    0.005,       3.1936e-06,       3.1936e-06,     2.28e-05,       2.0559e-06,       2.0559e-06,     1.84e-05
        99, 5179.708,    0.005,       3.9437e-06,       3.9437e-06,     2.56e-05,       1.9573e-06,       1.9573e-06,     1.79e-05
       100, 5232.281,    0.005,       5.6206e-06,       5.6206e-06,     3.14e-05,        1.835e-06,        1.835e-06,     1.72e-05
       101, 5284.242,    0.005,       4.9769e-06,       4.9769e-06,     2.92e-05,       1.7313e-06,       1.7313e-06,     1.65e-05
       102, 5335.896,    0.005,       4.3715e-06,       4.3715e-06,     2.73e-05,       1.7767e-06,       1.7767e-06,      1.7e-05
       103, 5387.469,    0.005,       3.5421e-06,       3.5421e-06,     2.49e-05,       1.6538e-06,       1.6538e-06,     1.62e-05
       104, 5439.199,    0.005,       2.7242e-06,       2.7242e-06,     2.09e-05,       1.5603e-06,       1.5603e-06,      1.6e-05
       105, 5490.983,    0.005,       8.8016e-06,       8.8016e-06,     3.86e-05,        1.555e-06,        1.555e-06,     1.59e-05
       106, 5542.811,    0.005,       3.8192e-06,       3.8192e-06,     2.45e-05,       1.5841e-06,       1.5841e-06,     1.61e-05
       107, 5595.712,    0.005,       1.1573e-05,       1.1573e-05,     4.49e-05,        1.588e-06,        1.588e-06,     1.63e-05
       108, 5647.501,    0.005,       6.4094e-06,       6.4094e-06,     3.38e-05,       1.6036e-06,       1.6036e-06,     1.65e-05
       109, 5701.048,    0.005,       4.7385e-06,       4.7385e-06,     2.79e-05,        1.511e-06,        1.511e-06,      1.6e-05
       110, 5753.190,    0.005,       3.9537e-06,       3.9537e-06,     2.52e-05,       1.5149e-06,       1.5149e-06,      1.6e-05
       111, 5804.594,    0.005,       3.2115e-06,       3.2115e-06,     2.35e-05,       1.4611e-06,       1.4611e-06,     1.56e-05
       112, 5857.602,    0.005,         5.17e-06,         5.17e-06,     2.97e-05,       1.4278e-06,       1.4278e-06,     1.54e-05
       113, 5909.519,    0.005,       6.7085e-06,       6.7085e-06,     3.36e-05,       1.4017e-06,       1.4017e-06,     1.52e-05
       114, 5962.815,    0.005,        6.289e-06,        6.289e-06,     3.14e-05,       1.4278e-06,       1.4278e-06,     1.54e-05
       115, 6015.563,    0.005,       4.0225e-06,       4.0225e-06,      2.6e-05,       1.4041e-06,       1.4041e-06,     1.51e-05
       116, 6067.257,    0.005,       4.0897e-06,       4.0897e-06,     2.55e-05,       1.3738e-06,       1.3738e-06,     1.52e-05
       117, 6119.198,    0.005,       9.3129e-06,       9.3129e-06,     3.73e-05,       1.3974e-06,       1.3974e-06,     1.54e-05
       118, 6171.388,    0.005,       1.8136e-05,       1.8136e-05,     5.51e-05,       1.5931e-06,       1.5931e-06,     1.65e-05
       119, 6223.785,    0.005,       9.7099e-06,       9.7099e-06,     4.11e-05,       1.5903e-06,       1.5903e-06,     1.67e-05
       120, 6275.901,    0.005,       7.4506e-06,       7.4506e-06,     3.56e-05,       1.5683e-06,       1.5683e-06,     1.63e-05
       121, 6328.025,    0.005,        4.348e-06,        4.348e-06,     2.72e-05,       1.4595e-06,       1.4595e-06,     1.57e-05
       122, 6379.983,    0.005,         4.56e-06,         4.56e-06,     2.78e-05,       1.4371e-06,       1.4371e-06,     1.58e-05
       123, 6432.302,    0.005,       3.1769e-06,       3.1769e-06,     2.31e-05,        1.379e-06,        1.379e-06,     1.54e-05
       124, 6484.687,    0.005,       5.3303e-06,       5.3303e-06,     3.07e-05,       1.3436e-06,       1.3436e-06,     1.51e-05
