epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    8,     5,         0.024588,         0.024334,       0.00025357,           3.7365,           4.7767,           3.1328,           4.4266,           3.7797,           4.0117,           5.5227,           4.7672,           7.1875,          0.47917
    8,     6,         0.023674,         0.023472,       0.00020183,           3.6692,           4.6913,           2.9878,           4.4479,           3.7179,           3.7157,            5.602,           4.6589,           6.4625,          0.43083
    8,     7,         0.018126,         0.018036,       8.9982e-05,           3.1152,           4.1123,           2.5488,           3.7625,           3.1556,           3.2854,            4.889,           4.0872,              4.2,             0.28
    8,     8,          0.01851,         0.018497,        1.376e-05,           3.0878,           4.1645,           2.6118,           3.6317,           3.1218,           3.3863,            4.905,           4.1456,           1.3656,         0.091042
    8,     9,         0.025613,         0.025583,       3.0307e-05,           3.9112,           4.8977,           3.2432,           4.6745,           3.9589,           4.0917,           5.6805,           4.8861,           2.0094,          0.13396
    8,    10,          0.02628,         0.026119,       0.00016099,           3.7325,           4.9488,           3.2968,           4.2304,           3.7636,           4.3275,           5.5747,           4.9511,           5.5687,          0.37125
    8,    11,         0.028753,         0.028496,       0.00025682,           3.8493,           5.1691,           2.9074,           4.9258,           3.9166,           3.6131,           6.5066,           5.0599,           7.3156,          0.48771
    8,    12,         0.018331,         0.018229,       0.00010138,           3.1539,           4.1343,           2.4156,           3.9976,           3.2066,           3.0114,           5.1247,           4.0681,           4.5375,           0.3025
    8,    13,         0.015113,         0.015104,       8.5648e-06,           2.8805,           3.7633,           2.7577,           3.0208,           2.8893,           3.5189,           4.0245,           3.7717,           1.1594,         0.077292
    8,    14,         0.028177,         0.028139,       3.7435e-05,           4.1516,           5.1366,           3.6125,           4.7678,           4.1902,           4.4756,           5.8005,            5.138,           2.6656,          0.17771
    8,    15,          0.02211,         0.022059,       5.0235e-05,           3.5374,           4.5479,           2.9163,           4.2471,           3.5817,            3.687,           5.3653,           4.5262,           3.1625,          0.21083
    8,    16,          0.02915,         0.029097,       5.2767e-05,            3.775,           5.2233,           2.9773,           4.6866,           3.8319,           4.0683,           6.2887,           5.1785,           2.3125,          0.15417
    8,    17,         0.023872,         0.023812,       6.0229e-05,           3.7095,           4.7252,           3.3961,           4.0676,           3.7319,            4.306,           5.1627,           4.7344,           3.2594,          0.21729
    8,    18,         0.030868,         0.030841,        2.623e-05,           3.8159,           5.3776,           3.1923,           4.5286,           3.8604,           4.6879,           6.0706,           5.3792,           1.8906,          0.12604
