epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        26,  254.981,    0.005,        0.0040441,        9.433e-06,        0.0040535,      0.00171,      0.00239,      0.00141,            0,      0.00198,      0.00113,      0.00202,            0,      0.00268,      0.00157,      0.00343,     9.02e-05,        0.0030212,       4.1396e-07,        0.0030217,      0.00137,      0.00207,      0.00121,            0,      0.00153,      0.00091,      0.00191,            0,       0.0022,      0.00137,     0.000762,     2.01e-05
        27,  264.769,    0.005,        0.0047248,       7.9847e-06,        0.0047327,      0.00188,      0.00258,      0.00153,            0,       0.0022,      0.00124,      0.00216,            0,      0.00291,      0.00169,      0.00313,     8.23e-05,        0.0029271,       3.6617e-07,        0.0029274,      0.00134,      0.00203,      0.00118,            0,      0.00149,      0.00089,      0.00188,            0,      0.00216,      0.00135,     0.000709,     1.87e-05
        28,  274.509,    0.005,        0.0036009,       7.5109e-06,        0.0036084,      0.00159,      0.00225,      0.00132,            0,      0.00184,      0.00105,      0.00191,            0,      0.00252,      0.00148,      0.00289,      7.6e-05,        0.0027949,       3.1871e-07,        0.0027952,       0.0013,      0.00199,      0.00115,            0,      0.00144,     0.000863,      0.00185,            0,       0.0021,      0.00132,     0.000661,     1.74e-05
        29,  284.127,    0.005,        0.0041462,       8.3049e-06,        0.0041545,      0.00175,      0.00242,      0.00142,            0,      0.00204,      0.00115,      0.00203,            0,      0.00272,      0.00158,      0.00329,     8.64e-05,         0.002728,       2.8821e-07,        0.0027283,      0.00129,      0.00196,      0.00113,            0,      0.00142,     0.000853,      0.00183,            0,      0.00208,       0.0013,     0.000624,     1.64e-05
        30,  293.785,    0.005,        0.0040341,       7.2551e-06,        0.0040414,       0.0017,      0.00239,      0.00136,            0,        0.002,      0.00112,      0.00197,            0,      0.00271,      0.00156,        0.003,      7.9e-05,         0.002642,       2.4066e-07,        0.0026422,      0.00126,      0.00193,      0.00111,            0,      0.00139,     0.000834,      0.00181,            0,      0.00204,      0.00128,     0.000561,     1.48e-05
        31,  303.446,    0.005,         0.004383,       7.5182e-06,        0.0043905,      0.00177,      0.00249,      0.00133,            0,      0.00216,      0.00116,      0.00192,            0,      0.00291,      0.00161,      0.00315,      8.3e-05,        0.0025932,       2.4187e-07,        0.0025935,      0.00124,      0.00191,       0.0011,            0,      0.00137,     0.000824,      0.00179,            0,      0.00202,      0.00127,     0.000561,     1.48e-05
        32,  313.157,    0.005,        0.0034514,       5.7615e-06,        0.0034572,      0.00156,      0.00221,      0.00126,            0,      0.00183,      0.00103,      0.00185,            0,      0.00248,      0.00145,      0.00264,     6.95e-05,        0.0024977,       2.1087e-07,        0.0024979,      0.00121,      0.00188,      0.00108,            0,      0.00133,     0.000803,      0.00177,            0,      0.00197,      0.00125,      0.00052,     1.37e-05
        33,  322.847,    0.005,        0.0034706,        3.004e-06,        0.0034736,      0.00154,      0.00221,       0.0012,            0,      0.00185,      0.00102,      0.00179,            0,      0.00254,      0.00144,      0.00193,     5.08e-05,        0.0024227,       1.9971e-07,        0.0024229,      0.00119,      0.00185,      0.00106,            0,      0.00131,     0.000788,      0.00174,            0,      0.00194,      0.00123,     0.000505,     1.33e-05
        34,  332.584,    0.005,        0.0034813,       7.8132e-06,        0.0034891,      0.00158,      0.00222,       0.0013,            0,      0.00183,      0.00104,      0.00189,            0,      0.00248,      0.00145,      0.00295,     7.77e-05,        0.0023608,       1.9201e-07,         0.002361,      0.00116,      0.00183,      0.00104,            0,      0.00128,     0.000771,      0.00173,            0,      0.00191,      0.00121,     0.000474,     1.25e-05
        35,  342.322,    0.005,        0.0033419,       5.2198e-06,        0.0033471,      0.00153,      0.00217,      0.00125,            0,      0.00178,      0.00101,      0.00185,            0,      0.00243,      0.00142,      0.00242,     6.37e-05,        0.0022873,       1.8409e-07,        0.0022875,      0.00114,       0.0018,      0.00101,            0,      0.00125,     0.000753,      0.00171,            0,      0.00188,      0.00119,     0.000462,     1.22e-05
