epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        26, 4290.305,    0.005,        0.0044947,       2.5029e-05,        0.0045197,      0.00178,      0.00251,      0.00143,            0,       0.0021,      0.00118,       0.0021,            0,      0.00283,      0.00164,      0.00525,     0.000138,        0.0026386,       1.3239e-06,        0.0026399,      0.00131,      0.00192,      0.00114,            0,      0.00147,      0.00087,      0.00175,            0,      0.00206,      0.00127,      0.00128,     3.37e-05
        27, 4453.208,    0.005,        0.0044709,       2.4839e-05,        0.0044958,      0.00182,       0.0025,      0.00152,            0,      0.00208,       0.0012,      0.00216,            0,      0.00277,      0.00164,       0.0056,     0.000147,        0.0025448,       1.2545e-06,        0.0025461,      0.00129,      0.00189,      0.00112,            0,      0.00144,     0.000851,      0.00172,            0,      0.00202,      0.00125,      0.00126,     3.32e-05
        28, 4616.180,    0.005,        0.0044583,       1.6959e-05,        0.0044753,      0.00179,       0.0025,      0.00141,            0,      0.00213,      0.00118,      0.00205,            0,      0.00284,      0.00163,      0.00476,     0.000125,        0.0024487,       1.1537e-06,        0.0024498,      0.00125,      0.00185,      0.00109,            0,       0.0014,     0.000831,      0.00169,            0,      0.00198,      0.00122,      0.00122,     3.21e-05
        29, 4779.113,    0.005,        0.0039716,       1.6438e-05,        0.0039881,      0.00168,      0.00236,       0.0014,            0,      0.00193,      0.00111,      0.00206,            0,      0.00259,      0.00155,      0.00463,     0.000122,        0.0023628,        1.147e-06,         0.002364,      0.00123,      0.00182,      0.00107,            0,      0.00137,     0.000813,      0.00167,            0,      0.00194,       0.0012,      0.00122,     3.21e-05
        30, 4941.982,    0.005,        0.0038297,        9.547e-06,        0.0038392,      0.00163,      0.00231,      0.00131,            0,      0.00191,      0.00107,      0.00196,            0,      0.00259,      0.00152,      0.00353,     9.29e-05,         0.002272,       1.0916e-06,        0.0022731,       0.0012,      0.00178,      0.00105,            0,      0.00133,     0.000792,      0.00164,            0,       0.0019,      0.00118,      0.00119,     3.13e-05
        31, 5105.341,    0.005,        0.0035729,       1.6433e-05,        0.0035893,      0.00157,      0.00223,      0.00127,            0,      0.00183,      0.00104,       0.0019,            0,      0.00249,      0.00147,      0.00453,     0.000119,        0.0021884,       1.0885e-06,        0.0021895,      0.00117,      0.00175,      0.00102,            0,       0.0013,     0.000773,      0.00161,            0,      0.00186,      0.00116,      0.00121,     3.18e-05
        32, 5268.067,    0.005,        0.0045739,       2.1036e-05,        0.0045949,      0.00179,      0.00253,      0.00138,            0,      0.00217,      0.00118,      0.00206,            0,      0.00289,      0.00165,      0.00508,     0.000134,        0.0021485,       1.0063e-06,        0.0021495,      0.00115,      0.00173,      0.00101,            0,      0.00129,     0.000765,      0.00159,            0,      0.00185,      0.00115,      0.00117,     3.08e-05
        33, 5431.134,    0.005,        0.0037816,       1.5834e-05,        0.0037974,      0.00161,       0.0023,      0.00128,            0,      0.00191,      0.00106,      0.00193,            0,      0.00259,      0.00151,      0.00434,     0.000114,        0.0020883,       9.5269e-07,        0.0020892,      0.00114,      0.00171,     0.000992,            0,      0.00126,     0.000752,      0.00157,            0,      0.00182,      0.00113,      0.00113,     2.98e-05
        34, 5593.916,    0.005,        0.0037853,       1.4203e-05,        0.0037995,      0.00159,       0.0023,      0.00125,            0,       0.0019,      0.00105,      0.00189,            0,      0.00261,       0.0015,      0.00417,      0.00011,        0.0020296,       9.0438e-07,        0.0020305,      0.00111,      0.00168,     0.000967,            0,      0.00124,     0.000737,      0.00155,            0,       0.0018,      0.00112,      0.00111,     2.91e-05
        35, 5762.041,    0.005,        0.0034431,       1.6216e-05,        0.0034594,      0.00154,      0.00219,      0.00124,            0,      0.00181,      0.00102,      0.00186,            0,      0.00245,      0.00144,      0.00466,     0.000123,        0.0019751,        8.648e-07,         0.001976,      0.00109,      0.00166,     0.000951,            0,      0.00122,     0.000723,      0.00153,            0,      0.00177,       0.0011,      0.00109,     2.87e-05
