epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,    58,           0.1832,          0.18269,       0.00051835,         0.011815,         0.016163,        0.0065937,         0.016514,         0.011554,        0.0084295,         0.020795,         0.014612,          0.03053,       0.00080342
    1,    59,           0.1747,          0.17381,        0.0008903,         0.011492,         0.015766,        0.0060713,          0.01637,         0.011221,        0.0080759,         0.020337,         0.014206,         0.041724,         0.001098
    1,    60,          0.20221,          0.20137,       0.00083974,          0.01187,          0.01697,        0.0059409,         0.017207,         0.011574,        0.0074484,         0.022299,         0.014873,          0.03905,        0.0010276
    2,     1,           0.1905,          0.19024,       0.00025375,         0.011607,         0.016494,        0.0060855,         0.016577,         0.011331,        0.0074968,         0.021595,         0.014546,         0.014917,       0.00039255
    2,     2,          0.21443,          0.21412,        0.0003136,         0.012122,         0.017499,        0.0060038,         0.017629,         0.011817,        0.0074448,         0.023063,         0.015254,         0.021729,        0.0005718
    2,     3,          0.20677,          0.20653,       0.00024149,         0.012334,         0.017186,        0.0065107,         0.017576,         0.012043,        0.0081519,         0.022391,         0.015272,         0.020325,       0.00053486
    2,     4,          0.18686,          0.18635,       0.00050974,         0.011695,         0.016325,        0.0063225,          0.01653,         0.011426,        0.0079965,         0.021185,         0.014591,          0.02627,        0.0006913
    2,     5,          0.14341,          0.14104,         0.002371,        0.0099921,         0.014202,        0.0058208,         0.013746,        0.0097836,        0.0074156,         0.018269,         0.012842,         0.069788,        0.0018365
    2,     6,          0.16156,           0.1596,        0.0019613,         0.011067,         0.015108,        0.0063203,         0.015339,          0.01083,        0.0077702,         0.019476,         0.013623,         0.063354,        0.0016672
    2,     7,          0.19754,          0.19708,       0.00045802,         0.011598,         0.016788,        0.0057628,          0.01685,         0.011306,        0.0072915,         0.022083,         0.014687,          0.02594,       0.00068263
    2,     8,          0.14104,          0.14066,       0.00037292,         0.010178,         0.014183,        0.0054199,         0.014459,        0.0099396,        0.0066166,         0.018515,         0.012566,         0.019727,       0.00051912
    2,     9,          0.15923,          0.15838,       0.00085148,         0.010844,          0.01505,        0.0058699,         0.015321,         0.010595,        0.0072077,         0.019585,         0.013396,         0.038428,        0.0010113
    2,    10,          0.12961,          0.12819,        0.0014263,        0.0098172,          0.01354,        0.0055102,         0.013694,        0.0096019,        0.0072135,         0.017363,         0.012288,         0.050293,        0.0013235
    2,    11,          0.13721,          0.13677,       0.00044657,         0.010124,         0.013985,        0.0057102,         0.014096,        0.0099028,        0.0072683,         0.018002,         0.012635,         0.028149,       0.00074077
    2,    12,          0.14951,          0.14928,       0.00022996,         0.010439,         0.014611,        0.0051822,          0.01517,         0.010176,        0.0064414,          0.01919,         0.012816,         0.016919,       0.00044524
    2,    13,          0.16297,          0.16246,       0.00051098,         0.010301,         0.015242,        0.0051334,         0.014951,         0.010042,         0.006315,         0.020138,         0.013226,         0.025464,        0.0006701
    2,    14,          0.13077,          0.12855,        0.0022196,         0.009956,         0.013558,        0.0051975,         0.014239,         0.009718,        0.0065202,         0.017636,         0.012078,         0.067566,        0.0017781
    2,    15,          0.12508,          0.12419,       0.00088673,        0.0095829,         0.013327,        0.0052506,         0.013482,        0.0093663,        0.0066627,         0.017248,         0.011956,         0.042493,        0.0011182
    2,    16,          0.13747,          0.13741,       6.0019e-05,        0.0099528,         0.014018,        0.0054433,         0.014011,        0.0097273,         0.006883,         0.018186,         0.012535,        0.0068481,       0.00018021
    2,    17,          0.13839,          0.13735,        0.0010477,        0.0097647,         0.014015,        0.0053045,         0.013779,        0.0095417,        0.0067952,         0.018211,         0.012503,         0.042078,        0.0011073
    2,    18,          0.10443,          0.10321,        0.0012243,        0.0087415,         0.012149,        0.0053066,         0.011833,        0.0085697,        0.0071604,         0.015306,         0.011233,         0.046643,        0.0012274
    2,    19,          0.10124,           0.1008,       0.00043401,         0.008754,         0.012007,        0.0051839,         0.011967,        0.0085755,        0.0066018,         0.015319,          0.01096,         0.025684,       0.00067588
    2,    20,          0.12332,          0.12307,       0.00025173,        0.0095735,         0.013266,        0.0061155,         0.012686,        0.0094007,         0.008146,         0.016573,          0.01236,         0.016223,       0.00042692
    2,    21,          0.12866,          0.12826,       0.00039141,        0.0097645,         0.013544,        0.0057744,         0.013356,         0.009565,        0.0080194,         0.017048,         0.012534,         0.025647,       0.00067492
    2,    22,         0.094137,         0.092313,        0.0018233,        0.0088396,          0.01149,        0.0055809,         0.011772,        0.0086766,        0.0070158,         0.014371,         0.010694,         0.061243,        0.0016116
    2,    23,          0.14058,          0.13912,        0.0014604,        0.0099658,         0.014105,        0.0052453,         0.014214,        0.0097297,        0.0068599,         0.018321,         0.012591,         0.054797,         0.001442
    2,    24,          0.14339,           0.1432,       0.00019246,         0.010492,          0.01431,        0.0057926,         0.014722,         0.010257,        0.0075466,         0.018381,         0.012964,         0.016321,       0.00042949
    2,    25,          0.12856,          0.12777,       0.00079196,        0.0094584,         0.013517,        0.0050554,         0.013421,        0.0092383,        0.0065816,         0.017555,         0.012068,         0.036182,       0.00095215
    2,    26,          0.14448,          0.14333,        0.0011486,         0.010259,         0.014317,        0.0055509,         0.014497,         0.010024,        0.0071302,         0.018539,         0.012835,          0.04425,        0.0011645
    2,    27,         0.096043,         0.095595,       0.00044869,        0.0088155,         0.011692,        0.0053281,         0.011954,        0.0086411,        0.0069004,         0.014727,         0.010814,         0.022717,       0.00059782
    2,    28,          0.10883,          0.10796,       0.00087447,         0.009256,         0.012425,        0.0061003,         0.012096,        0.0090982,        0.0079389,         0.015382,         0.011661,          0.03457,       0.00090975
    2,    29,          0.10034,          0.10006,        0.0002845,        0.0084445,         0.011962,         0.004913,         0.011623,         0.008268,        0.0062394,          0.01539,         0.010814,         0.020386,       0.00053647
    2,    30,         0.096838,         0.096521,       0.00031674,         0.008837,         0.011749,        0.0057426,         0.011622,        0.0086823,        0.0070753,         0.014738,         0.010907,         0.023657,       0.00062256
    2,    31,         0.087341,         0.086209,        0.0011322,        0.0083671,         0.011103,        0.0051976,          0.01122,        0.0082087,        0.0066784,         0.013932,         0.010305,         0.046289,        0.0012181
    2,    32,         0.077416,         0.076191,        0.0012246,        0.0078323,         0.010438,        0.0050532,         0.010334,        0.0076934,        0.0064287,         0.013032,        0.0097302,         0.049951,        0.0013145
    2,    33,          0.10809,          0.10793,       0.00016123,        0.0089938,         0.012424,        0.0048689,         0.012706,        0.0087875,        0.0063039,         0.016047,         0.011175,         0.017297,       0.00045519
    2,    34,         0.090895,         0.090114,         0.000781,        0.0082379,         0.011352,        0.0046861,         0.011434,        0.0080603,        0.0061443,         0.014522,         0.010333,         0.036255,       0.00095408
    2,    35,         0.072893,         0.071539,        0.0013547,        0.0076706,         0.010115,        0.0055629,        0.0095675,        0.0075652,        0.0069665,         0.012276,        0.0096213,         0.048523,        0.0012769
    2,    36,         0.080611,         0.080569,       4.2432e-05,        0.0082648,         0.010734,        0.0051881,         0.011034,         0.008111,        0.0064987,          0.01345,        0.0099745,        0.0093506,       0.00024607
    2,    37,         0.088061,         0.087381,       0.00068055,        0.0081582,         0.011179,        0.0049481,         0.011047,        0.0079977,        0.0061312,         0.014269,           0.0102,         0.033923,       0.00089272
    2,    38,         0.093971,         0.093075,        0.0008959,        0.0086288,         0.011537,        0.0063492,          0.01068,        0.0085148,        0.0081201,         0.013913,         0.011016,         0.039343,        0.0010353
    2,    39,         0.063775,         0.063647,       0.00012804,        0.0072542,        0.0095405,         0.005084,        0.0092075,        0.0071457,        0.0063945,         0.011668,        0.0090312,         0.015503,       0.00040797
    2,    40,         0.078215,         0.077665,       0.00055004,         0.007558,         0.010539,        0.0047406,         0.010094,        0.0074171,        0.0059188,         0.013398,        0.0096583,         0.032654,       0.00085931
    2,    41,          0.06822,         0.066785,        0.0014349,        0.0074299,        0.0097728,        0.0050445,        0.0095768,        0.0073107,        0.0062469,         0.012097,        0.0091721,         0.052551,        0.0013829
    2,    42,         0.072216,         0.071294,       0.00092168,        0.0073246,         0.010097,        0.0042403,           0.0101,        0.0071703,        0.0054713,         0.012914,        0.0091928,         0.040503,        0.0010659
    2,    43,         0.095124,          0.09492,       0.00020377,        0.0080556,         0.011651,        0.0045097,         0.011247,        0.0078783,        0.0058031,         0.015087,         0.010445,         0.015955,       0.00041986
    2,    44,          0.07473,         0.073429,        0.0013018,         0.007563,         0.010247,        0.0049219,        0.0099399,        0.0074309,        0.0061423,         0.012867,        0.0095047,         0.050024,        0.0013164
    2,    45,         0.077703,         0.077359,       0.00034484,        0.0077537,         0.010518,         0.004681,         0.010519,           0.0076,        0.0060814,         0.013301,        0.0096911,         0.026123,       0.00068745
    2,    46,         0.064577,         0.063894,       0.00068338,         0.007017,         0.009559,        0.0042928,        0.0094688,        0.0068808,        0.0054845,         0.012105,        0.0087949,         0.037329,       0.00098234
    2,    47,          0.05625,         0.056162,       8.8184e-05,        0.0067195,         0.008962,        0.0043001,        0.0088971,        0.0065986,        0.0055464,         0.011177,        0.0083615,        0.0078979,       0.00020784
    2,    48,         0.064881,         0.063794,        0.0010869,        0.0072286,        0.0095515,        0.0042595,        0.0099008,        0.0070801,        0.0053992,         0.012129,        0.0087639,         0.045496,        0.0011973
    2,    49,         0.062886,         0.062318,       0.00056811,        0.0072188,        0.0094404,         0.004276,        0.0098673,        0.0070717,        0.0055141,         0.011915,        0.0087145,          0.03385,       0.00089079
    2,    50,         0.081099,         0.080845,        0.0002538,        0.0080156,         0.010752,        0.0044508,         0.011224,        0.0078374,        0.0058474,         0.013744,        0.0097957,         0.019385,       0.00051013
    2,    51,         0.070304,         0.070141,        0.0001632,        0.0075011,         0.010015,        0.0048083,        0.0099247,        0.0073665,        0.0060023,         0.012576,        0.0092892,         0.014746,       0.00038806
    2,    52,          0.07395,         0.073722,       0.00022886,         0.007542,         0.010268,        0.0042401,         0.010514,        0.0073769,        0.0054506,         0.013175,        0.0093127,         0.019727,       0.00051912
    2,    53,           0.1163,          0.11414,        0.0021645,         0.009914,         0.012776,        0.0070506,         0.012491,        0.0097709,        0.0086689,         0.015572,          0.01212,         0.065808,        0.0017318
    2,    54,         0.072732,         0.071682,        0.0010504,        0.0075926,         0.010125,        0.0044985,         0.010377,        0.0074379,        0.0057714,         0.012837,        0.0093043,         0.045654,        0.0012014
    2,    55,         0.083182,         0.083052,       0.00012964,        0.0083827,         0.010898,         0.006338,         0.010223,        0.0082805,        0.0081009,         0.012908,         0.010504,         0.016016,       0.00042146
    2,    56,         0.097777,         0.097713,       6.4292e-05,        0.0084249,         0.011821,        0.0043785,         0.012067,        0.0082226,        0.0058188,         0.015331,         0.010575,        0.0077393,       0.00020366
    2,    57,         0.069199,          0.06763,        0.0015695,        0.0069508,        0.0098345,        0.0041599,        0.0094626,        0.0068113,        0.0054908,         0.012515,         0.009003,         0.056213,        0.0014793
